Entity,Code,Day,people_in_hospital
England,,2020-03-20,1580
England,,2020-03-21,2152
England,,2020-03-22,2670
England,,2020-03-23,3183
England,,2020-03-24,3598
England,,2020-03-25,4402
England,,2020-03-26,5226
England,,2020-03-27,6462
England,,2020-03-28,7269
England,,2020-03-29,8424
England,,2020-03-30,9852
England,,2020-03-31,11154
England,,2020-04-01,12059
England,,2020-04-02,12135
England,,2020-04-03,13635
England,,2020-04-04,15469
England,,2020-04-05,16657
England,,2020-04-06,17154
England,,2020-04-07,17814
England,,2020-04-08,18152
England,,2020-04-09,18423
England,,2020-04-10,18669
England,,2020-04-11,18604
England,,2020-04-12,18974
England,,2020-04-13,18621
England,,2020-04-14,18552
England,,2020-04-15,17934
England,,2020-04-16,17783
England,,2020-04-17,16728
England,,2020-04-18,16850
England,,2020-04-19,16928
England,,2020-04-20,16654
England,,2020-04-21,16517
England,,2020-04-22,16018
England,,2020-04-23,15402
England,,2020-04-24,14642
England,,2020-04-25,14202
England,,2020-04-26,14174
England,,2020-04-27,14255
England,,2020-04-28,13565
England,,2020-04-29,13224
England,,2020-04-30,12922
England,,2020-05-01,12623
England,,2020-05-02,12314
England,,2020-05-03,12119
England,,2020-05-04,12020
England,,2020-05-05,11754
England,,2020-05-06,11227
England,,2020-05-07,10726
England,,2020-05-08,10249
England,,2020-05-09,10176
England,,2020-05-10,9893
England,,2020-05-11,10109
England,,2020-05-12,9791
England,,2020-05-13,9602
England,,2020-05-14,9231
England,,2020-05-15,9079
England,,2020-05-16,8643
England,,2020-05-17,8611
England,,2020-05-18,8668
England,,2020-05-19,8518
England,,2020-05-20,8115
England,,2020-05-21,7903
England,,2020-05-22,7761
England,,2020-05-23,7428
England,,2020-05-24,7415
England,,2020-05-25,7448
England,,2020-05-26,7305
England,,2020-05-27,6836
England,,2020-05-28,6528
England,,2020-05-29,6250
England,,2020-05-30,5972
England,,2020-05-31,5933
England,,2020-06-01,5954
England,,2020-06-02,5827
England,,2020-06-03,5600
England,,2020-06-04,5398
England,,2020-06-05,5213
England,,2020-06-06,5004
England,,2020-06-07,4820
England,,2020-06-08,4830
England,,2020-06-09,4665
England,,2020-06-10,4447
England,,2020-06-11,4179
England,,2020-06-12,4136
England,,2020-06-13,4000
England,,2020-06-14,3973
England,,2020-06-15,3920
England,,2020-06-16,3934
England,,2020-06-17,3826
England,,2020-06-18,3681
England,,2020-06-19,3575
England,,2020-06-20,3423
England,,2020-06-21,3373
England,,2020-06-22,3417
England,,2020-06-23,3288
England,,2020-06-24,3223
England,,2020-06-25,3066
England,,2020-06-26,2859
England,,2020-06-27,2819
England,,2020-06-28,2818
England,,2020-06-29,3024
England,,2020-06-30,2665
England,,2020-07-01,2509
England,,2020-07-02,2410
England,,2020-07-03,2294
England,,2020-07-04,2152
England,,2020-07-05,2100
England,,2020-07-06,2099
England,,2020-07-07,2010
England,,2020-07-08,1888
England,,2020-07-09,1801
England,,2020-07-10,1746
England,,2020-07-11,1640
England,,2020-07-12,1611
England,,2020-07-13,1612
England,,2020-07-14,1506
England,,2020-07-15,1489
England,,2020-07-16,1348
England,,2020-07-17,1346
England,,2020-07-18,1321
England,,2020-07-19,1301
England,,2020-07-20,1278
England,,2020-07-21,1188
England,,2020-07-22,1305
England,,2020-07-23,1095
England,,2020-07-24,1018
England,,2020-07-25,977
England,,2020-07-26,965
England,,2020-07-27,945
England,,2020-07-28,944
England,,2020-07-29,927
England,,2020-07-30,898
England,,2020-07-31,870
England,,2020-08-01,879
England,,2020-08-02,847
England,,2020-08-03,842
England,,2020-08-04,807
England,,2020-08-05,805
England,,2020-08-06,756
England,,2020-08-07,711
England,,2020-08-08,650
England,,2020-08-09,611
England,,2020-08-10,714
England,,2020-08-11,672
England,,2020-08-12,642
England,,2020-08-13,652
England,,2020-08-14,642
England,,2020-08-15,630
England,,2020-08-16,634
England,,2020-08-17,626
England,,2020-08-18,597
England,,2020-08-19,571
England,,2020-08-20,551
England,,2020-08-21,528
England,,2020-08-22,594
England,,2020-08-23,522
England,,2020-08-24,522
England,,2020-08-25,500
England,,2020-08-26,485
England,,2020-08-27,492
England,,2020-08-28,469
England,,2020-08-29,478
England,,2020-08-30,479
England,,2020-08-31,495
